Code_BV_Complet;Libellé commune;Exprimés;PCT_RN;PCT_UG;PCT_ENS
33334986;Salles;679;43.3;22.68;30.19
33334987;Salles;449;43.21;22.05;31.4
33334991;Les Salles-de-Castillon;167;48.5;19.16;31.14
33335001;Samonac;231;44.59;29.0;22.51
33335011;Saucats;601;38.27;28.29;30.45
33335012;Saucats;676;37.28;23.22;35.36
33335013;Saucats;593;38.95;28.33;29.01
33335021;Saugon;231;61.47;19.48;15.15
33335031;Saumos;323;34.98;25.39;17.03
33335041;Sauternes;408;40.2;21.81;32.84
33335051;La Sauve;760;40.79;27.76;25.79
33335061;Sauveterre-de-Guyenne;437;42.33;28.83;25.17
33335062;Sauveterre-de-Guyenne;538;44.98;23.23;25.65
33335071;Sauviac;225;35.11;29.78;33.78
33335081;Savignac;358;45.81;25.14;23.74
33335091;Savignac-de-l'Isle;336;50.3;21.43;27.38
33335101;Semens;115;46.96;27.83;18.26
33335111;Sendets;198;55.56;19.7;21.72
33335121;Sigalens;200;42.0;34.0;20.5
33335131;Sillas;60;25.0;35.0;38.33
33335141;Soulac-sur-Mer;620;35.48;26.13;27.74
33335142;Soulac-sur-Mer;572;31.47;28.67;26.57
33335143;Soulac-sur-Mer;587;51.96;24.53;16.35
33335151;Soulignac;233;42.49;27.04;22.75
33335161;Soussac;90;46.67;16.67;34.44
33335171;Soussans;827;53.81;26.48;13.91
33335181;Tabanac;669;30.79;36.47;29.45
33335191;Le Taillan-Médoc;569;29.53;29.0;35.15
33335192;Le Taillan-Médoc;594;23.23;34.68;34.34
33335193;Le Taillan-Médoc;607;29.98;31.8;33.28
33335194;Le Taillan-Médoc;561;31.37;26.38;37.79
33335195;Le Taillan-Médoc;559;28.09;31.66;31.48
33335196;Le Taillan-Médoc;606;36.63;30.86;28.71
33335197;Le Taillan-Médoc;569;30.58;31.99;31.28
33335198;Le Taillan-Médoc;601;31.95;31.78;31.61
33335199;Le Taillan-Médoc;639;27.86;27.86;39.44
333351910;Le Taillan-Médoc;664;30.72;27.41;38.86
33335201;Taillecavat;153;63.4;15.69;18.3
33335211;Talais;422;58.77;20.85;14.69
33335221;Talence;759;15.42;46.25;36.1
33335222;Talence;746;18.63;39.68;37.94
33335223;Talence;473;18.39;53.28;24.95
33335224;Talence;737;16.42;45.45;35.69
33335225;Talence;809;12.98;46.23;37.95
33335226;Talence;730;13.42;51.51;33.29
33335227;Talence;774;13.57;45.48;38.89
33335228;Talence;888;12.61;48.54;36.82
33335229;Talence;742;12.4;43.8;41.51
333352210;Talence;641;12.48;47.58;37.44
333352211;Talence;586;19.62;47.44;30.38
333352212;Talence;763;15.86;47.18;34.86
333352213;Talence;773;13.45;50.06;33.76
333352214;Talence;755;12.58;52.58;31.92
333352215;Talence;613;15.82;50.73;30.83
333352216;Talence;750;17.47;50.67;29.73
333352217;Talence;682;19.65;41.2;36.51
333352218;Talence;685;17.96;44.96;33.87
333352219;Talence;666;23.87;45.5;27.93
333352220;Talence;673;18.87;47.7;31.2
333352221;Talence;482;13.9;50.62;32.37
333352222;Talence;575;21.22;48.87;27.3
333352223;Talence;515;17.86;46.8;32.23
333352224;Talence;580;19.14;52.07;26.55
333352225;Talence;621;21.26;49.11;26.73
333352226;Talence;407;21.13;60.2;14.5
33335231;Targon;500;48.6;21.6;25.2
33335232;Targon;513;50.1;24.76;19.49
33335241;Tarnès;169;47.34;25.44;24.26
33335251;Tauriac;739;50.88;24.76;21.52
33335261;Tayac;94;50.0;19.15;29.79
33335271;Le Teich;629;35.93;25.91;26.39
33335272;Le Teich;473;36.79;24.1;28.33
33335273;Le Teich;591;32.49;32.66;25.38
33335274;Le Teich;627;36.04;21.53;31.9
33335275;Le Teich;535;36.45;23.74;31.03
33335276;Le Teich;727;40.44;18.29;28.47
33335277;Le Teich;630;32.7;23.33;32.86
33335278;Le Teich;639;38.5;25.98;25.82
33335281;Le Temple;332;53.92;14.76;25.9
33335291;La Teste-de-Buch;655;39.24;18.17;29.31
33335292;La Teste-de-Buch;601;32.95;15.14;37.1
33335293;La Teste-de-Buch;541;32.35;21.63;33.09
33335294;La Teste-de-Buch;586;36.69;16.21;33.79
33335295;La Teste-de-Buch;472;31.14;18.86;37.08
33335296;La Teste-de-Buch;783;38.31;15.07;34.61
33335297;La Teste-de-Buch;706;33.43;14.59;39.94
33335298;La Teste-de-Buch;791;34.01;16.69;35.27
33335299;La Teste-de-Buch;726;37.19;18.73;29.48
333352910;La Teste-de-Buch;714;37.11;16.95;32.77
333352911;La Teste-de-Buch;810;38.89;15.56;33.83
333352912;La Teste-de-Buch;626;37.22;19.97;30.03
333352913;La Teste-de-Buch;683;36.46;13.62;34.85
333352914;La Teste-de-Buch;710;45.49;14.51;26.76
333352915;La Teste-de-Buch;796;35.68;17.34;32.41
333352916;La Teste-de-Buch;768;24.35;8.33;48.18
333352917;La Teste-de-Buch;856;29.21;6.43;46.61
333352918;La Teste-de-Buch;778;46.66;13.11;28.28
333352919;La Teste-de-Buch;565;46.19;10.8;30.44
333352920;La Teste-de-Buch;722;49.17;13.3;26.32
333352921;La Teste-de-Buch;597;36.85;17.59;33.0
333352922;La Teste-de-Buch;734;35.29;20.57;29.16
333352923;La Teste-de-Buch;522;40.04;14.94;28.93
33335301;Teuillac;453;53.2;19.21;26.05
33335311;Tizac-de-Curton;192;45.83;25.52;28.13
33335321;Tizac-de-Lapouyade;266;51.13;21.05;25.19
33335331;Toulenne;605;40.0;33.39;22.81
33335332;Toulenne;606;40.59;31.02;24.42
33335341;Le Tourne;421;28.74;43.94;23.52
33335351;Tresses;705;29.08;40.57;22.27
33335352;Tresses;717;29.71;41.84;19.39
33335353;Tresses;742;29.78;41.37;20.75
33335354;Tresses;708;33.33;34.6;21.05
33335361;Le Tuzan;156;48.08;34.62;14.1
33335371;Uzeste;296;32.43;42.91;22.64
33335381;Valeyrac;284;61.97;21.13;14.08
33335391;Vayres;706;44.33;22.38;31.59
33335392;Vayres;711;38.12;29.25;30.24
33335393;Vayres;607;41.35;25.21;31.63
33335401;Vendays-Montalivet;504;46.83;30.75;17.46
33335402;Vendays-Montalivet;507;54.04;24.26;14.79
33335403;Vendays-Montalivet;732;41.67;29.78;21.86
33335411;Vensac;694;50.72;25.22;17.87
33335421;Vérac;439;51.25;24.15;23.46
33335431;Verdelais;493;42.8;31.03;22.52
33335441;Le Verdon-sur-Mer;419;45.82;31.26;15.99
33335442;Le Verdon-sur-Mer;541;45.84;30.13;17.01
33335451;Vertheuil;636;55.82;21.38;16.67
33335461;Vignonet;252;44.05;22.62;31.35
33335471;Villandraut;620;36.77;33.71;24.52
33335481;Villegouge;748;49.06;25.27;22.59
33335491;Villenave-de-Rions;212;35.85;31.6;29.72
33335501;Villenave-d'Ornon;576;27.78;41.15;26.22
33335502;Villenave-d'Ornon;534;29.4;36.7;29.21
33335503;Villenave-d'Ornon;457;32.82;34.57;28.45
33335504;Villenave-d'Ornon;678;26.4;46.46;24.04
33335505;Villenave-d'Ornon;595;29.75;41.34;24.87
